,conversation_id,created_at,date,timezone,place,tweet,hashtags,user_id,username,name,link,nlikes,nreplies,nretweets,geo
8354,1592792933606248448,2022-11-16 08:13:23,2022-11-16 08:13:23+00:00,0,,"Kota ini juga memiliki aplikasi Pekanbaru Investment Center yang memberikan informasi kesempatan dan peluang investasi di ibu kota Provinsi Riau tersebut. Sehingga, masuknya investasi yang mendorong pertumbuhan seharusnya tidak lama lagi.  https://t.co/BXT6pLKzbp",[],53878998,datanesia_id,Datanesia.ID,https://twitter.com/datanesia_id/status/1592792939008528384,0,1,0,
8355,1592792933606248448,2022-11-16 08:13:22,2022-11-16 08:13:22+00:00,0,,"Dari analisis Datanesia, ada tujuh sektor menjanjikan yang potensi tumbuh dan kontribusinya besar. Dan tahun ini Pekanbaru masuk nominasi anugerah layanan investasi (ALI) yang digelar Badan Koordinasi Penanaman Modal (BKPM).  #b20 #datanesia #pekanbaru #datanesiaid #insightnesia  https://t.co/kxzgDWf8Vb","['b20', 'datanesia', 'pekanbaru', 'datanesiaid', 'insightnesia']",53878998,datanesia_id,Datanesia.ID,https://twitter.com/datanesia_id/status/1592792933606248449,25,31,25,
8356,1592792726059515904,2022-11-16 08:12:33,2022-11-16 08:12:33+00:00,0,,MARI dan ARTO saham-saham top gainer sesi pagi 16 November 2022  https://t.co/NnMbQVQMb1,[],1181886758721507328,redaksidetail,detail.id,https://twitter.com/redaksidetail/status/1592792726059515906,0,0,0,
8357,1592779468770533376,2022-11-16 08:11:37,2022-11-16 08:11:37+00:00,0,,7. Ketimpangan ini harus segera kita perbaiki. G20 harus dapat memobilisasi investasi untuk membangun infrastruktur yang terjangkau bagi semua. #KTTG20LangkahNyata Dorong Ekonomi Dunia #KTTG20LangkahNyata Dorong Ekonomi Dunia,"['kttg20langkahnyata', 'kttg20langkahnyata']",714719021816541184,Kemhan_RI,Kemhan RI,https://twitter.com/Kemhan_RI/status/1592792490817761281,2,1,0,
8358,1592792427361759232,2022-11-16 08:11:21,2022-11-16 08:11:21+00:00,0,,"Ferry Paulus resmi menjabat sebagai Direktur Utama PT Liga Indonesia Baru (PT LIB) setelah melalui  Rapat Umum Pemegang Saham Luar Biasa (RUPSLB) di Jakarta, Selasa (15/11/2022).  https://t.co/CNt3HC5LCQ",[],350668803,indozonemedia,Indozone Media,https://twitter.com/indozonemedia/status/1592792427361759233,0,0,0,
8359,1592716647231807488,2022-11-16 08:10:52,2022-11-16 08:10:52+00:00,0,,@Saham_fess Semangat ya nder,[],1234919472202317824,keteklembab,buluhalus,https://twitter.com/keteklembab/status/1592792304074780673,0,0,0,
8360,1592791954164953088,2022-11-16 08:09:29,2022-11-16 08:09:29+00:00,0,,RT @kementan : 7. Ketimpangan ini harus segera kita perbaiki. G20 harus dapat memobilisasi investasi untuk membangun infrastruktur yang terjangkau bagi semua. #KTTG20LangkahNyata Dorong Ekonomi Dunia #KTTG20LangkahNyata Dorong Ekonomi Dunia,"['kttg20langkahnyata', 'kttg20langkahnyata']",965431874301472768,bbvetmaros,Balai Besar Veteriner Maros,https://twitter.com/bbvetmaros/status/1592791954164953088,0,0,0,
8361,1592785817780752384,2022-11-16 08:09:27,2022-11-16 08:09:27+00:00,0,,@moonareas Saham Indomie,[],1214164274794287104,slweepyover,abey,https://twitter.com/slweepyover/status/1592791945352744967,0,0,0,
8362,1592791932446846976,2022-11-16 08:09:23,2022-11-16 08:09:23+00:00,0,,Next class juli 2023 yg mau ikut segera baiknya ambil kelas ini. 2023 akan fokus kelas2 advance lanjutan,[],1260798424393211904,TradingDiary2,"Chart Investor (Saham IHSG, USA and Crypto market)",https://twitter.com/TradingDiary2/status/1592791932446846976,3,2,1,
8363,1592791929929879552,2022-11-16 08:09:23,2022-11-16 08:09:23+00:00,0,,"Condotel Blitar, beli skrg untung 7%.Didpn 50jt sisa saat jadi.Libur bayar 2th, tnpa cicilan 085707047031/ 75F13837 apaajaIKLAN kicaupromo",[],2288235792,Properti_Ku,Investasi Properti,https://twitter.com/Properti_Ku/status/1592791929929879552,0,0,0,
8364,1592791887139987456,2022-11-16 08:09:13,2022-11-16 08:09:13+00:00,0,,"Uang Korban Kasus Indra Kenz Disita Negara, Simak Tips Hindari Jebakan Investasi Bodong |   https://t.co/2NAsPZ3PyT lewat @tangerangnews",[],89905836,tangerangnews,TangerangNews,https://twitter.com/tangerangnews/status/1592791887139987457,0,0,0,
8365,1592680800377798656,2022-11-16 08:09:10,2022-11-16 08:09:10+00:00,0,,"@mudaffis @sulthanium turun jangka pendek ga sih palingan, yg berdampak lebih ke beberapa saham dunia palingan nanti hasil komunike.",[],1250137947946414080,poloboloo,Ket the Holy Man,https://twitter.com/poloboloo/status/1592791877287567360,0,0,0,
8366,1592791859830870016,2022-11-16 08:09:06,2022-11-16 08:09:06+00:00,0,,Kita sangat bangga dengan kinerja Pak Jokowi sehingga Indonesia jadi pasar investasi terbaik seperti saat ini!  #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur  https://t.co/KcihTHaF27,"['jokowipresidenku', 'pembangunanuntukrakyat', 'presidenjokowihebat', 'jokowimembangunnegeri', 'jokowimajubersamaindonesia', 'jokowibapakinfrastruktur']",1571512832486940672,pramashton,Pram Ashton,https://twitter.com/pramashton/status/1592791859830870016,1,0,0,
8367,1592716647231807488,2022-11-16 08:08:49,2022-11-16 08:08:49+00:00,0,,@dnmycera @Saham_fess all in di zata itu bang?,[],1202884692132786176,tommmy_the_cat,tom,https://twitter.com/tommmy_the_cat/status/1592791787432968193,0,1,0,
8368,1592716647231807488,2022-11-16 08:07:51,2022-11-16 08:07:51+00:00,0,,@suryaduagelas @Saham_fess turu iseh penak ora sam?,[],1367880597616521216,petrychorr,yufi,https://twitter.com/petrychorr/status/1592791544251437056,0,0,0,
8369,1592791542275899392,2022-11-16 08:07:50,2022-11-16 08:07:50+00:00,0,,7. Ketimpangan ini harus segera kita perbaiki. G20 harus dapat memobilisasi investasi untuk membangun infrastruktur yang terjangkau bagi semua. #KTTG20LangkahNyata Dorong Ekonomi Dunia #KTTG20LangkahNyata Dorong Ekonomi Dunia,"['kttg20langkahnyata', 'kttg20langkahnyata']",3249380042,bpomsemarang,bpomsemarang,https://twitter.com/bpomsemarang/status/1592791542275899393,0,0,0,
8370,1592678212231778304,2022-11-16 08:07:16,2022-11-16 08:07:16+00:00,0,,@wantyu8 @Saham_fess skrg lg disupport kuat nya,[],1484478962,auffflah,kiky shelby,https://twitter.com/auffflah/status/1592791399107559424,0,1,0,
8371,1592791308250546176,2022-11-16 08:07:14,2022-11-16 08:07:14+00:00,0,,"Dengan hadirnya ETM, Indonesia mengajak dunia untuk beralih ke energi yang ramah lingkungan guna mencapai pembangunan berkelanjutan.  Kerangka kerja pembiayaan dan investasi program ETM ini akan dikelola oleh @ptsmi_id yang merupakan salah satu Special Mission Vehicles (SMV)",[],1731673105,pajaksumut1,pajaksumut1,https://twitter.com/pajaksumut1/status/1592791389162852352,1,0,0,
